id,catalog_number,cad
1249541,3/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX1000.dxf
1249560,3/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX950.dxf
1249559,3/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX900.dxf
1249558,3/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX850.dxf
176719,3/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX800.dxf
1249557,3/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX750.dxf
176717,3/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX710.dxf
1249556,3/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX670.dxf
176715,3/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX630.dxf
1249554,3/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX560.dxf
1249555,3/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX600.dxf
1249553,3/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX530.dxf
1249552,3/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_3_5VX500.dxf
1249431,2/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_2_5VX2000.dxf
